transaction_id,true_label,predicted_label,illicit_probability,is_flagged,confidence
26593,1,1,1.0,1,1.0
26637,1,1,1.0,1,1.0
26634,1,1,1.0,1,1.0
26402,1,1,1.0,1,1.0
435,1,1,1.0,1,1.0
20,1,1,1.0,1,1.0
9093,1,1,1.0,1,1.0
8937,1,1,1.0,1,1.0
23076,1,1,1.0,1,1.0
9072,1,1,1.0,1,1.0
8745,1,1,1.0,1,1.0
23326,1,1,1.0,1,1.0
9129,1,1,1.0,1,1.0
9216,1,1,1.0,1,1.0
36105,1,1,1.0,1,1.0
36049,1,1,1.0,1,1.0
35980,1,1,1.0,1,1.0
18001,1,1,1.0,1,1.0
35845,1,1,1.0,1,1.0
35938,1,1,1.0,1,1.0
17860,1,1,1.0,1,1.0
728,1,1,1.0,1,1.0
26666,1,1,1.0,1,1.0
18172,1,1,1.0,1,1.0
35651,1,1,1.0,1,1.0
35729,1,1,1.0,1,1.0
43460,1,1,1.0,1,1.0
9200,1,1,1.0,1,1.0
8520,1,1,1.0,1,1.0
8461,1,1,1.0,1,1.0
8464,1,1,1.0,1,1.0
8393,1,1,1.0,1,1.0
8498,1,1,1.0,1,1.0
43861,1,1,1.0,1,1.0
30980,1,1,1.0,1,1.0
22973,1,1,1.0,1,1.0
31290,1,1,1.0,1,1.0
9393,1,1,1.0,1,1.0
31329,1,1,1.0,1,1.0
30937,1,1,1.0,1,1.0
9438,1,1,1.0,1,1.0
9462,1,1,1.0,1,1.0
9405,1,1,1.0,1,1.0
9109,1,1,1.0,1,1.0
8308,1,1,1.0,1,1.0
8332,1,1,1.0,1,1.0
8360,1,1,1.0,1,1.0
8422,1,1,1.0,1,1.0
8454,1,1,1.0,1,1.0
17605,1,1,1.0,1,1.0
45953,1,1,1.0,1,1.0
46118,1,1,1.0,1,1.0
1024,1,1,1.0,1,1.0
997,1,1,1.0,1,1.0
18721,1,1,1.0,1,1.0
18598,1,1,1.0,1,1.0
18602,1,1,1.0,1,1.0
999,1,1,1.0,1,1.0
9689,1,1,1.0,1,1.0
22639,1,1,1.0,1,1.0
8252,1,1,1.0,1,1.0
43209,1,1,1.0,1,1.0
23439,1,1,1.0,1,1.0
23628,1,1,1.0,1,1.0
30748,1,1,1.0,1,1.0
22715,1,1,1.0,1,1.0
31561,1,1,1.0,1,1.0
8137,1,1,1.0,1,1.0
7747,1,1,1.0,1,1.0
7959,1,1,1.0,1,1.0
10074,1,1,1.0,1,1.0
42965,1,1,1.0,1,1.0
31511,1,1,1.0,1,1.0
31527,1,1,1.0,1,1.0
42921,1,1,1.0,1,1.0
42931,1,1,1.0,1,1.0
17565,1,1,1.0,1,1.0
36351,1,1,1.0,1,1.0
36309,1,1,1.0,1,1.0
45938,1,1,1.0,1,1.0
26751,1,1,1.0,1,1.0
26752,1,1,1.0,1,1.0
1177,1,1,1.0,1,1.0
1181,1,1,1.0,1,1.0
17549,1,1,1.0,1,1.0
26763,1,1,1.0,1,1.0
7900,1,1,1.0,1,1.0
7902,1,1,1.0,1,1.0
43031,1,1,1.0,1,1.0
44052,1,1,1.0,1,1.0
31543,1,1,1.0,1,1.0
31555,1,1,1.0,1,1.0
42807,1,1,1.0,1,1.0
